epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,146.4,1.18436,1.5228,1.22475,0.66277,0.53024,0.60843,0.45575,1.08473,1.12604,1.12527,8.33e-06,8.33e-06,8.33e-06
2,283.838,1.2081,1.37593,1.24254,0.66633,0.54421,0.62778,0.46711,1.08142,1.09143,1.1245,1.76733e-05,1.76733e-05,1.76733e-05
3,425.73,1.24902,1.37782,1.26154,0.66187,0.57599,0.63973,0.47739,1.07557,1.07258,1.12087,2.68281e-05,2.68281e-05,2.68281e-05
4,576.085,1.14367,1.27507,1.23575,0.69789,0.57917,0.65559,0.49286,1.0649,1.04945,1.11286,3.57944e-05,3.57944e-05,3.57944e-05
5,796.43,1.15204,1.22623,1.21526,0.70035,0.60975,0.67614,0.50979,1.04671,1.01518,1.10253,4.45722e-05,4.45722e-05,4.45722e-05
6,962.56,1.0736,1.17223,1.17697,0.71803,0.62245,0.68815,0.52068,1.03712,0.98649,1.09321,5.31615e-05,5.31615e-05,5.31615e-05
7,1117.36,1.17552,1.24074,1.21195,0.71222,0.64695,0.70082,0.53342,1.03473,0.96446,1.08877,6.15623e-05,6.15623e-05,6.15623e-05
8,1270.15,1.09644,1.19342,1.17991,0.72623,0.65698,0.71119,0.54069,1.03194,0.94211,1.08657,6.97746e-05,6.97746e-05,6.97746e-05
9,1441.4,1.06239,1.14547,1.18101,0.7924,0.62904,0.73737,0.56033,1.01844,0.91356,1.08029,7.77984e-05,7.77984e-05,7.77984e-05
10,1621.26,1.1096,1.07991,1.15735,0.83054,0.62259,0.74642,0.56901,1.00936,0.89194,1.07599,8.56337e-05,8.56337e-05,8.56337e-05
11,1767.92,1.02876,1.05312,1.13439,0.72011,0.71135,0.75717,0.5822,1.00034,0.86383,1.07114,9.32805e-05,9.32805e-05,9.32805e-05
12,1931.16,1.1334,1.11904,1.16086,0.76399,0.7169,0.76499,0.58572,0.99172,0.84293,1.06623,0.000100739,0.000100739,0.000100739
13,2088.51,1.06708,1.10456,1.17805,0.75248,0.72005,0.76803,0.59877,0.98429,0.82506,1.06107,0.000104863,0.000104863,0.000104863
14,2226.81,1.07103,1.05594,1.15935,0.76951,0.70779,0.77192,0.60344,0.97337,0.80981,1.05665,0.000103685,0.000103685,0.000103685
15,2384.93,1.05776,1.03666,1.1682,0.7913,0.7076,0.78234,0.60991,0.96519,0.79199,1.05256,0.000102507,0.000102507,0.000102507
16,2535.92,0.99041,0.972,1.11229,0.80938,0.70502,0.79536,0.61417,0.9549,0.77723,1.04968,0.000101329,0.000101329,0.000101329
17,2684.29,0.99234,0.95704,1.12007,0.83293,0.7007,0.79972,0.62018,0.94559,0.76255,1.04444,0.00010015,0.00010015,0.00010015
18,2835.92,1.02628,1.03052,1.1495,0.83478,0.69359,0.80286,0.62592,0.93592,0.74987,1.03761,9.89723e-05,9.89723e-05,9.89723e-05
19,2976.71,1.04096,0.95884,1.13011,0.85654,0.69581,0.81087,0.62929,0.92872,0.73812,1.0315,9.77942e-05,9.77942e-05,9.77942e-05
20,3138.74,0.99419,0.94078,1.10454,0.84352,0.71658,0.81471,0.63645,0.92201,0.73009,1.02585,9.66161e-05,9.66161e-05,9.66161e-05
21,3291.41,0.98706,0.88693,1.10632,0.8451,0.72975,0.82184,0.64343,0.91343,0.72048,1.02105,9.5438e-05,9.5438e-05,9.5438e-05
22,3453.45,0.98019,0.90345,1.09851,0.84218,0.734,0.82323,0.64263,0.908,0.71186,1.01813,9.42599e-05,9.42599e-05,9.42599e-05
23,3619.08,1.01818,0.93462,1.11794,0.84795,0.73484,0.82694,0.64723,0.90233,0.7005,1.01314,9.30818e-05,9.30818e-05,9.30818e-05
24,3761,0.94437,0.87826,1.09555,0.82308,0.75497,0.82989,0.65513,0.89312,0.6884,1.00734,9.19037e-05,9.19037e-05,9.19037e-05
25,3911.78,1.023,0.89752,1.08476,0.81631,0.77665,0.83543,0.66007,0.88511,0.6776,1.00464,9.07256e-05,9.07256e-05,9.07256e-05
26,4073.35,0.97182,0.86991,1.08001,0.85291,0.75848,0.83929,0.66384,0.87739,0.67147,1.001,8.95475e-05,8.95475e-05,8.95475e-05
27,4221.91,0.96032,0.84838,1.08155,0.84695,0.77347,0.84482,0.66558,0.86905,0.66934,0.99874,8.83694e-05,8.83694e-05,8.83694e-05
28,4363.58,0.97647,0.87568,1.09138,0.86263,0.77212,0.84751,0.66674,0.85906,0.66742,0.99478,8.71913e-05,8.71913e-05,8.71913e-05
29,4509.42,0.96518,0.89094,1.09449,0.85668,0.77034,0.84539,0.66946,0.85278,0.66284,0.99256,8.60132e-05,8.60132e-05,8.60132e-05
30,4674.91,0.88653,0.80046,1.07016,0.82217,0.78512,0.84342,0.67036,0.84999,0.65577,0.99109,8.48351e-05,8.48351e-05,8.48351e-05
31,4839.96,0.92233,0.82623,1.08068,0.85368,0.75676,0.84229,0.66874,0.84576,0.64576,0.98817,8.3657e-05,8.3657e-05,8.3657e-05
32,5003.09,0.95453,0.88068,1.08387,0.85567,0.76302,0.84047,0.67629,0.84375,0.63503,0.98777,8.24789e-05,8.24789e-05,8.24789e-05
33,5170.75,0.9286,0.84022,1.0843,0.86915,0.75793,0.84212,0.67747,0.84157,0.62911,0.98596,8.13008e-05,8.13008e-05,8.13008e-05
34,5328.79,0.96136,0.83983,1.06506,0.84017,0.79638,0.84734,0.67694,0.84392,0.62402,0.9861,8.01227e-05,8.01227e-05,8.01227e-05
35,5495.28,0.94566,0.83795,1.07468,0.82381,0.80559,0.84443,0.67481,0.84216,0.62351,0.98433,7.89446e-05,7.89446e-05,7.89446e-05
36,5653.06,0.94338,0.8101,1.07417,0.83598,0.7958,0.84371,0.67962,0.83575,0.62331,0.98082,7.77665e-05,7.77665e-05,7.77665e-05
37,5800.24,0.96822,0.84864,1.09122,0.83785,0.8003,0.84555,0.68105,0.83018,0.62,0.97733,7.65884e-05,7.65884e-05,7.65884e-05
38,5977.85,0.90385,0.76407,1.05198,0.83104,0.80604,0.84899,0.68414,0.82667,0.61311,0.975,7.54103e-05,7.54103e-05,7.54103e-05
39,6128.31,0.91714,0.81827,1.07495,0.85748,0.79172,0.85055,0.68606,0.82233,0.60989,0.97202,7.42322e-05,7.42322e-05,7.42322e-05
40,6278.34,0.89421,0.79554,1.06913,0.86511,0.79514,0.85148,0.68444,0.81816,0.60331,0.97038,7.30541e-05,7.30541e-05,7.30541e-05
41,6440.82,0.86785,0.76229,1.02888,0.87443,0.77548,0.85173,0.69047,0.81619,0.59689,0.96934,7.1876e-05,7.1876e-05,7.1876e-05
42,6618.27,0.92343,0.7927,1.06175,0.86545,0.77271,0.85284,0.69319,0.81428,0.59525,0.96844,7.06979e-05,7.06979e-05,7.06979e-05
43,6779.67,0.94911,0.80942,1.06965,0.87324,0.77627,0.85371,0.69572,0.80937,0.59361,0.9659,6.95198e-05,6.95198e-05,6.95198e-05
44,6949.77,0.92796,0.81227,1.08148,0.88432,0.78926,0.85719,0.69621,0.80411,0.59452,0.96283,6.83417e-05,6.83417e-05,6.83417e-05
45,7119.81,0.92506,0.77824,1.06016,0.88297,0.79003,0.85283,0.69487,0.79839,0.59241,0.96045,6.71636e-05,6.71636e-05,6.71636e-05
46,7285.03,0.90415,0.7701,1.04359,0.89265,0.78762,0.86411,0.70116,0.79216,0.58881,0.95802,6.59855e-05,6.59855e-05,6.59855e-05
47,7442.41,0.88606,0.76793,1.0644,0.89193,0.7915,0.86679,0.70652,0.78621,0.5839,0.95603,6.48074e-05,6.48074e-05,6.48074e-05
48,7605.44,0.88546,0.76397,1.06048,0.89689,0.78117,0.86924,0.71121,0.78121,0.5794,0.9541,6.36293e-05,6.36293e-05,6.36293e-05
49,7781.96,0.91875,0.78542,1.04786,0.88078,0.78581,0.87032,0.7124,0.7801,0.57744,0.95402,6.24512e-05,6.24512e-05,6.24512e-05
